id,Delta,R0,i0
6317,21.0,2.1514730167601934,7472.0
6318,20.0,2.214716087166862,3041.0
6319,20.0,2.0315838210851123,9720.0
6320,20.0,2.1205866989640305,6052.0
6321,18.0,2.275346001572972,2414.0
6322,19.0,2.282623405233589,2519.0
6323,18.0,2.1504293285621565,5143.0
6324,20.0,2.2309145010480007,4422.0
6325,20.0,2.3021720489320083,3298.0
6326,20.0,2.251259286635714,5611.0
6327,18.0,2.147489044482163,6681.0
6328,20.0,2.092414345545784,7386.0
6329,20.0,2.198780211953888,7472.0
6330,17.0,2.1495257747427154,5188.0
6331,16.0,2.3591756076447963,2045.0
6332,22.0,2.143391804130045,6637.0
6333,21.0,2.144018691811715,4428.0
6334,16.0,2.2314281357295065,4661.0
6335,17.0,2.131843876852793,6520.0
6336,17.0,2.25438562602561,4655.0
6337,18.0,2.1909560817767795,5196.0
6338,18.0,2.5167433258255287,1167.0
6339,17.0,2.240546220887342,3483.0
6340,19.0,2.039857046645344,9303.0
6341,22.0,2.1231542554622043,8685.0
6342,21.0,2.186474332518207,4962.0
6343,18.0,2.1680434869077416,6487.0
6344,22.0,2.142935220825028,5641.0
6345,21.0,2.110645576194439,6566.0
6346,18.0,2.1052841413965284,8523.0
6347,20.0,2.326632832881077,3382.0
6348,18.0,2.187237728164797,6414.0
6349,18.0,2.2141919348587393,6414.0
6350,18.0,2.088476452561575,6563.0
6351,18.0,2.2017285196251035,4824.0
6352,18.0,2.2400612004934315,2922.0
6353,15.0,2.251697322006689,3248.0
6354,22.0,2.1799332811334997,4547.0
6355,17.0,2.1983096152122394,3769.0
6356,19.0,2.1855053125468045,5927.0
6357,17.0,2.3782338870397313,3261.0
6358,20.0,2.21361090711127,6613.0
6359,20.0,2.2077568903899047,4566.0
6360,19.0,2.0888373174217576,9737.0
6361,22.0,2.2353888053381517,5044.0
6362,21.0,2.235450139184994,4096.0
6363,18.0,2.192945489843634,5410.0
6364,17.0,2.256373458327639,3212.0
6365,18.0,2.083979295097343,8639.0
6366,17.0,2.295175464573005,4048.0
6367,19.0,2.4589173779449047,2347.0
6368,17.0,2.4773876164873254,1948.0
6369,17.0,2.283812145181976,4276.0
6370,19.0,2.0397749708848276,9653.0
6371,20.0,2.3193409617982317,4304.0
6372,21.0,2.1984273832100123,6229.0
6373,20.0,2.1953932116662744,5102.0
6374,23.0,2.0172952968224456,9680.0
6375,18.0,2.2247126663318184,4915.0
6376,19.0,2.394500915503845,2153.0
6377,18.0,2.3166402276943225,3914.0
6378,21.0,2.123440379571387,8355.0
6379,14.0,2.3965805484146547,2520.0
6380,18.0,2.4291087156691957,2638.0
6381,20.0,2.211523188894791,3785.0
6382,21.0,2.1330561527558753,5862.0
6383,20.0,2.172698579644572,3914.0
6384,21.0,2.2162853667630924,4192.0
6385,19.0,1.9797230777751775,9984.0
6386,20.0,2.2875911849615105,2213.0
6387,20.0,2.299164339305598,3769.0
6388,19.0,2.167665375256557,3921.0
6389,22.0,2.1445253059451748,5691.0
6390,19.0,2.2205551442014646,6211.0
6391,19.0,2.3347357517900993,4114.0
6392,22.0,2.0376448410419257,8364.0
6393,14.0,2.437199458767592,1417.0
6394,19.0,2.225101776351208,3249.0
6395,18.0,2.245631221577342,2771.0
6396,16.0,2.3320129145979003,3032.0
6397,16.0,2.4658510658258677,2414.0
6398,21.0,2.2465269340165825,3967.0
6399,19.0,2.051765538199448,7653.0
6400,19.0,2.108416662159452,6584.0
6401,20.0,2.088780025060136,9457.0
6402,14.0,2.5315063242741616,927.0
6403,15.0,2.3807421587256883,2045.0
6404,19.0,2.1867699038860686,6052.0
6405,16.0,2.245346491574784,3326.0
6406,19.0,2.1056748558232345,8056.0
6407,17.0,2.211698359349102,4140.0
6408,21.0,2.1195161931978466,5188.0
6409,17.0,2.2719431766625804,4422.0
6410,19.0,2.346274596577917,2562.0
6411,19.0,2.0596787990413863,9303.0
6412,22.0,2.138930957503407,5791.0
6413,19.0,2.3421328994355863,4276.0
6414,19.0,2.2705516975621416,4238.0
6415,21.0,2.1328235213980413,4704.0
6416,19.0,2.1839148426143735,4978.0
6417,18.0,2.4130387063950094,1417.0
6418,18.0,2.2926622187434997,2153.0
6419,18.0,2.123440329342111,6616.0
6420,19.0,2.2712793697153306,3283.0
6421,20.0,2.054006881158088,7053.0
6422,19.0,2.1756393845548883,4443.0
6423,19.0,2.14876750761851,5753.0
6424,18.0,2.3632923654448215,3509.0
6425,18.0,2.369230637607734,1839.0
6426,21.0,2.1979158089813025,3795.0
6427,18.0,2.1406810577967152,5268.0
6428,21.0,2.123759406755856,6224.0
6429,18.0,2.0955203378504588,6520.0
6430,21.0,2.040233746831805,9066.0
6431,17.0,2.267990350046084,2400.0
6432,19.0,2.1319564505856645,5767.0
6433,20.0,2.364343535684152,3591.0
6434,20.0,2.098924682549878,9486.0
6435,20.0,2.2453404377002126,3019.0
6436,19.0,2.000780835974419,9500.0
6437,17.0,2.1913411080576126,5894.0
6438,18.0,2.061342922380341,9108.0
6439,17.0,2.1386614860260074,6616.0
6440,18.0,2.3629591823631397,3209.0
6441,17.0,2.4389600245560703,1986.0
6442,21.0,2.079350142188475,7696.0
6443,20.0,2.1146284592179856,8484.0
6444,19.0,2.4184694748191067,2568.0
6445,20.0,2.1968056945238637,5761.0
6446,21.0,2.1891606806861383,5575.0
6447,20.0,2.205431046146362,3591.0
6448,20.0,2.118823969876806,5102.0
6449,14.0,2.4068916926687636,2216.0
6450,18.0,2.2040693749423306,6318.0
6451,20.0,2.259430893008486,5641.0
6452,17.0,2.237705585567818,3508.0
6453,18.0,2.2072076119021293,3388.0
6454,19.0,2.1814213164711607,4917.0
6455,15.0,2.4159609704383636,2380.0
6456,16.0,2.250599691308726,4410.0
6457,20.0,2.2376243597624637,2797.0
6458,19.0,2.149052764358075,5862.0
6459,17.0,2.3046412242611747,2908.0
6460,18.0,2.1468695813755216,4651.0
6461,19.0,2.38318686375778,1948.0
6462,14.0,2.3818548706661775,1895.0
6463,19.0,1.9920009500203377,9354.0
6464,22.0,2.112480069643016,8355.0
6465,18.0,2.2842473346781524,4052.0
6466,19.0,2.2732382119750505,2400.0
6467,20.0,2.1893398316077186,5588.0
6468,18.0,2.127033323345071,7737.0
6469,19.0,2.4400748924887754,2260.0
6470,17.0,2.1295433595359206,5745.0
6471,20.0,2.0835582513530917,9495.0
6472,18.0,2.1516428719777783,5459.0
6473,21.0,2.1556197534097716,4979.0
6474,22.0,2.200165313830206,3914.0
6475,20.0,2.18564124005686,5869.0
6476,22.0,2.0269776691484855,8620.0
6477,14.0,2.4652583453298207,1720.0
6478,20.0,2.17762443928307,5051.0
6479,20.0,2.27285418939891,3893.0
6480,19.0,2.034361912090978,9919.0
6481,17.0,2.271433926639407,3814.0
6482,20.0,2.323583733244509,2878.0
6483,19.0,2.3109642185291306,2484.0
6484,21.0,2.1752901802622713,6616.0
6485,18.0,2.2162907732998804,5913.0
6486,18.0,2.037289198727587,8523.0
6487,19.0,2.4185758889442854,1532.0
6488,18.0,2.2954730679780773,3737.0
6489,19.0,2.297607362315594,2797.0
6490,19.0,2.1551486399857294,5501.0
6491,18.0,2.0903757913378445,6194.0
6492,17.0,2.442469751856272,1701.0
6493,19.0,2.221845945473561,5029.0
6494,17.0,2.305717958702243,3292.0
6495,18.0,2.096291958836309,6327.0
