id,Delta,R0,i0
6312,21.0,2.184037204419346,6890.0
6313,12.0,2.580847961028666,1236.0
6314,18.0,2.182600921207473,6288.0
6315,16.0,2.4273741003621643,3396.0
6316,21.0,2.213974939117766,4194.0
6317,21.0,2.2871514855475725,3933.0
6318,22.0,2.181789521789068,5374.0
6319,17.0,2.2499992063340466,5910.0
6320,19.0,2.523814204792076,2523.0
6321,20.0,2.252364873311629,7427.0
6322,20.0,2.1452508068440346,8322.0
6323,20.0,2.2054529150118523,5743.0
6324,21.0,2.2131832321447726,8535.0
6325,21.0,2.3667202934093905,2523.0
6326,20.0,2.4029784824713247,3954.0
6327,13.0,2.6608296339920674,1141.0
6328,18.0,2.3461844307723667,2859.0
6329,17.0,2.239550470582672,4624.0
6330,21.0,2.28074590432605,3775.0
6331,22.0,2.2459098813766265,6084.0
6332,18.0,2.1643818211762196,7284.0
6333,17.0,2.339070478398799,4885.0
6334,16.0,2.30335888385019,3593.0
6335,20.0,2.1794115754007866,6474.0
6336,19.0,2.2627444230585096,3933.0
6337,21.0,2.1450276629422804,7479.0
6338,20.0,2.142304187164832,7993.0
6339,19.0,2.1626798394997078,5146.0
6340,21.0,2.25677722642599,6662.0
6341,15.0,2.480808125288864,1922.0
6342,21.0,2.1855981469249497,6143.0
6343,20.0,2.1883259575715766,5175.0
6344,20.0,2.365758209078563,4887.0
6345,18.0,2.496062466822206,1449.0
6346,19.0,2.319474783453494,3847.0
6347,19.0,2.0497880133263666,9381.0
6348,19.0,2.1202727260441523,9041.0
6349,22.0,2.188656206203147,6660.0
6350,15.0,2.571581384839978,1197.0
6351,22.0,2.0496517241808387,9650.0
6352,21.0,2.1456471431228645,6786.0
6353,21.0,2.3362204814558525,3905.0
6354,18.0,2.1455507109309546,7162.0
6355,22.0,2.122636745113295,7024.0
6356,20.0,2.2139697553077697,5061.0
6357,16.0,2.595570428844548,1449.0
6358,17.0,2.2885292952100755,2926.0
6359,17.0,2.6110407328492187,1695.0
6360,17.0,2.2073272315356527,4933.0
6361,22.0,2.1908101700348253,5187.0
6362,16.0,2.2237202149153865,4868.0
6363,20.0,2.141207763495905,6099.0
6364,20.0,2.2701030744199846,6552.0
6365,16.0,2.2639685606889213,5653.0
6366,19.0,2.407530517056919,2855.0
6367,19.0,2.4184767017386917,3527.0
6368,22.0,2.25041132375601,5791.0
6369,18.0,2.4817300946509406,2684.0
6370,14.0,2.4534096342391387,2463.0
6371,15.0,2.304121581752494,2945.0
6372,22.0,2.1773560288079667,5125.0
6373,22.0,2.2233072782471095,4887.0
6374,21.0,2.083704163662986,9886.0
6375,21.0,2.136257225106935,8495.0
6376,19.0,2.275248879936359,6480.0
6377,20.0,2.236054874374701,3614.0
6378,16.0,2.24355570717445,5374.0
6379,16.0,2.187626959703792,5908.0
6380,22.0,2.164461780423381,7955.0
6381,20.0,2.1917490968852005,9007.0
6382,18.0,2.2744305038284636,5093.0
6383,16.0,2.3438100640550124,3496.0
6384,21.0,2.3904405808372244,2893.0
6385,20.0,2.148400845781781,6167.0
6386,16.0,2.2862508461822233,4832.0
6387,20.0,2.3052958863809776,5854.0
6388,22.0,2.058434148372958,9411.0
6389,18.0,2.2515307352306397,5125.0
6390,19.0,2.3425351052388006,4823.0
6391,23.0,2.0476459936452582,9484.0
6392,20.0,2.3798789125334667,2427.0
6393,17.0,2.4209109356928917,2772.0
6394,19.0,2.281180187698266,6138.0
6395,20.0,2.334072734821802,4093.0
6396,16.0,2.318639649554953,3757.0
6397,17.0,2.3064692401548497,4446.0
6398,17.0,2.31323454205459,2733.0
6399,18.0,2.32478194042932,5374.0
6400,21.0,2.275133962386748,6448.0
6401,19.0,2.090492374274118,7743.0
6402,18.0,2.1187901786558934,9650.0
6403,17.0,2.3724994154784964,3455.0
6404,18.0,2.1353638508391426,9740.0
6405,17.0,2.3436910132024558,2800.0
6406,15.0,2.265856625629734,3925.0
6407,19.0,2.390227750266439,2607.0
6408,19.0,2.1598240123878902,6122.0
6409,19.0,2.4464917343556127,3396.0
6410,18.0,2.1838817607489895,7097.0
6411,21.0,2.093232309414396,7119.0
6412,21.0,2.200580202521856,9227.0
6413,22.0,2.250099929748504,6258.0
6414,21.0,2.147587749938772,9632.0
6415,17.0,2.149059859672598,7094.0
6416,18.0,2.1821768191916453,5263.0
6417,20.0,2.1989141357457793,7715.0
6418,17.0,2.3365315178236488,2772.0
6419,20.0,2.255214182483795,6144.0
6420,18.0,2.22098558632583,4350.0
6421,18.0,2.1031725574149776,8330.0
6422,21.0,2.15429707919485,9019.0
6423,20.0,2.0629895870135435,9886.0
6424,17.0,2.2327859170348887,5146.0
6425,16.0,2.77879621061202,702.0
6426,22.0,2.2007639295951256,7649.0
6427,20.0,2.305502981878445,4975.0
6428,14.0,2.54171420166007,1171.0
6429,16.0,2.3536751562613283,4501.0
6430,17.0,2.4722055311070443,2460.0
6431,15.0,2.3231516766981706,3933.0
6432,21.0,2.3274015863221322,4250.0
6433,18.0,2.1216840352361004,6660.0
6434,15.0,2.29099336147791,4250.0
