id,Delta,R0,i0
6413,19.0,1.9058900283597078,5170.0
6414,18.0,1.9386156253598612,5643.0
6415,14.0,2.023711271351388,4340.0
6416,18.0,1.8901812643783134,6587.0
6417,11.0,2.271991234870778,1461.0
6418,16.0,1.9412702738612617,5710.0
6419,17.0,1.8942182433983707,6023.0
6420,12.0,2.2011452732459182,1977.0
6421,12.0,2.1955677205827344,2451.0
6422,14.0,1.904453061765124,7585.0
6423,16.0,1.8818240626193339,6369.0
6424,15.0,1.8855244042080235,9181.0
6425,19.0,1.8984503642595134,5938.0
6426,19.0,1.9681857111416377,4954.0
6427,16.0,1.828435145215016,7785.0
6428,15.0,1.917289474523132,5736.0
6429,16.0,2.09669166236372,3351.0
6430,17.0,1.9232268447196894,6960.0
6431,12.0,2.2325380022532726,2241.0
6432,15.0,1.9702399743638674,3943.0
6433,11.0,2.3144832231672434,908.0
6434,16.0,1.8905448666917308,5710.0
6435,13.0,1.9631271096787115,4895.0
6436,15.0,2.1024305043933014,2717.0
6437,17.0,1.9580457351132807,4511.0
6438,14.0,1.9235249116243966,6369.0
6439,18.0,1.9639232125797503,4071.0
6440,13.0,2.0910051184343876,3729.0
6441,13.0,2.2496516776720377,1977.0
6442,18.0,1.9474858185557387,7036.0
6443,9.0,2.370876890849025,908.0
6444,15.0,2.040288500712219,5710.0
6445,17.0,1.9350457696711787,7793.0
6446,14.0,1.9988117502033786,3943.0
6447,16.0,2.005526743906396,4791.0
6448,17.0,1.9463546835747014,8083.0
6449,19.0,1.8101178271192957,9473.0
6450,14.0,1.853730117212567,6925.0
6451,17.0,1.9736807491160369,6737.0
6452,16.0,1.9732321845762009,5710.0
6453,18.0,2.2130484019910677,1483.0
6454,17.0,1.8789715447979785,6160.0
6455,19.0,1.8527727935741714,7436.0
6456,16.0,1.9231543099849122,6651.0
6457,17.0,2.019618588795608,4235.0
6458,10.0,2.2521210118966617,1483.0
6459,18.0,1.870054123717016,9874.0
6460,15.0,1.9619572515199544,6023.0
6461,14.0,2.170177132890903,2962.0
6462,14.0,2.333365806488774,908.0
6463,16.0,1.8946706930421446,9386.0
6464,14.0,1.853509721129367,8162.0
6465,14.0,2.126988173075911,3852.0
6466,18.0,1.9610537587575854,5771.0
6467,20.0,1.8401663203645375,8306.0
6468,14.0,1.864551665148129,7717.0
6469,17.0,1.9610999637074256,4777.0
6470,14.0,2.0667187904929474,2775.0
6471,13.0,2.325145066464343,908.0
6472,15.0,1.884198537079184,8564.0
6473,17.0,2.0794529374823547,3213.0
6474,16.0,1.879078439677609,6701.0
6475,18.0,1.9040235554488079,5709.0
6476,19.0,1.8419640381591058,9972.0
6477,15.0,1.9611432513069778,6486.0
6478,17.0,1.9598349668490669,6611.0
6479,16.0,2.0100486312348904,5454.0
6480,15.0,1.90216685032935,8914.0
6481,16.0,1.9390195620156545,5923.0
6482,13.0,2.2920994428209958,1369.0
6483,15.0,1.887199417867083,6352.0
6484,14.0,1.9661263385839525,4064.0
6485,17.0,2.016999329310423,4584.0
6486,16.0,1.8426791514406897,7580.0
6487,19.0,1.9571960328606979,4340.0
6488,13.0,1.9811403864930237,4796.0
6489,16.0,2.2669195379003404,1369.0
6490,17.0,1.9388171619154515,5455.0
6491,16.0,2.0474280619330956,4927.0
6492,18.0,1.9336808543132675,6642.0
6493,15.0,2.2054177126192474,1977.0
6494,18.0,2.0961017465493215,2947.0
6495,17.0,1.9332727066779558,7382.0
6496,12.0,2.0376786313196753,4340.0
6497,16.0,1.9927640741981614,3631.0
6498,9.0,2.4050837726036014,908.0
6499,18.0,1.8854608946608333,9011.0
6500,12.0,2.32758190390823,908.0
6501,15.0,2.0930163867248783,3983.0
6502,17.0,1.9977605232348083,3925.0
6503,14.0,2.0357837425401724,3830.0
6504,14.0,1.9409611592911216,6499.0
6505,17.0,2.022672378026508,3419.0
