id,Delta,R0,i0
7960,19.0,1.5747599421010847,7378.0
7961,17.0,1.874958698047595,2624.0
7962,18.0,1.7246079706297495,4718.0
7963,16.0,1.678379228119451,6005.0
7964,17.0,1.5643835611891754,9509.0
7965,11.0,2.34830436257681,373.0
7966,19.0,1.5856636799633301,8960.0
7967,15.0,1.9076453390626864,2751.0
7968,18.0,1.599943275764622,8280.0
7969,16.0,1.7191410074242655,5028.0
7970,21.0,1.5481311668433921,8227.0
7971,22.0,1.568768371600285,8441.0
7972,18.0,1.630049090451703,6521.0
7973,18.0,1.7248177426422462,5489.0
7974,15.0,1.9161120707883694,2624.0
7975,16.0,1.8301757605912197,3951.0
7976,16.0,1.7899083919251657,3616.0
7977,16.0,1.669607789352656,5754.0
7978,17.0,1.6852542405354591,4789.0
7979,16.0,1.8028060858095327,2523.0
7980,18.0,1.6794695155596284,5783.0
7981,20.0,1.562918327028934,9162.0
7982,18.0,1.577490629737529,8337.0
7983,16.0,1.8009117512956552,3801.0
7984,20.0,1.6289347913272343,6521.0
7985,19.0,1.6678978225226087,5455.0
7986,17.0,1.635242061445541,7459.0
7987,20.0,1.5943551484474208,6712.0
7988,20.0,1.7001753200122964,5519.0
7989,19.0,1.6614500071091807,7381.0
7990,21.0,1.666992862486819,5063.0
7991,14.0,1.8801770069066037,2858.0
7992,17.0,1.70256470568348,5339.0
7993,15.0,1.6582777899657242,6106.0
7994,14.0,1.9138544751214188,2632.0
7995,17.0,1.6515649094121663,6714.0
7996,14.0,1.7248118037906197,4258.0
7997,16.0,2.135975105476691,854.0
7998,18.0,1.6744426092574782,6249.0
7999,17.0,2.0677263724908426,854.0
8000,19.0,1.6463798605147772,5573.0
8001,20.0,1.7221521673423315,4969.0
