id,Delta,R0,i0
6266,20.0,2.1770003632418162,7678.0
6267,20.0,2.134632900897141,9751.0
6268,17.0,2.126864111915537,6951.0
6269,22.0,2.0429691243019157,9566.0
6270,17.0,2.3168689574156156,2530.0
6271,21.0,2.329862114639221,3977.0
6272,19.0,2.3738956781583416,2990.0
6273,18.0,2.1827539486876377,5773.0
6274,17.0,2.3041722642904907,4241.0
6275,17.0,2.25220023956505,3684.0
6276,18.0,2.0965579644479706,7761.0
6277,17.0,2.2079646048986312,5323.0
6278,16.0,2.5990885759893265,1134.0
6279,21.0,2.3282199347521004,3398.0
6280,21.0,2.1212291348184156,9780.0
6281,19.0,2.3159141989679606,4688.0
6282,20.0,2.1390625057318577,5694.0
6283,17.0,2.2817305151006875,3019.0
6284,18.0,2.3017617267301675,4541.0
6285,18.0,2.259095910423321,4563.0
6286,19.0,2.1528214362315876,8146.0
6287,20.0,2.211193839569274,5115.0
6288,20.0,2.3424025506144495,4578.0
6289,18.0,2.230599861255512,3833.0
6290,18.0,2.3203478518456704,4679.0
6291,19.0,2.128674213364436,8870.0
6292,17.0,2.2851345652874175,4176.0
6293,17.0,2.3496319646591792,4232.0
6294,20.0,2.092357836529624,8837.0
6295,21.0,2.1811963406842834,7949.0
6296,16.0,2.273893126050295,3913.0
6297,17.0,2.359059538345457,4061.0
6298,17.0,2.17756039044548,5345.0
6299,18.0,2.3379910175711394,3428.0
6300,19.0,2.348848946487656,4286.0
6301,17.0,2.612015063509999,1239.0
6302,18.0,2.312249903438876,3153.0
6303,17.0,2.350060293176168,3538.0
6304,22.0,2.095417115806599,7294.0
6305,19.0,2.1230441467843484,8598.0
6306,21.0,2.095097552535984,7874.0
6307,19.0,2.4345375217219134,2418.0
6308,18.0,2.204574393161755,5128.0
6309,17.0,2.2481924653077723,4352.0
6310,18.0,2.3651915598888107,3109.0
6311,16.0,2.578329186029507,1179.0
6312,20.0,2.1599515264016893,9431.0
6313,19.0,2.363942420404255,4321.0
6314,20.0,2.0853101922707973,7678.0
6315,18.0,2.424125966417087,2036.0
6316,21.0,2.2162219812119073,6756.0
6317,20.0,2.2402701474343227,3473.0
6318,19.0,2.1507222568061013,7863.0
6319,19.0,2.207410730380003,6616.0
6320,18.0,2.2195015176666812,4338.0
6321,20.0,2.1314060773258143,7934.0
6322,20.0,2.151229084213772,7458.0
6323,21.0,2.197660128221647,7537.0
6324,20.0,2.2379036428405983,3473.0
6325,17.0,2.45219668734672,1536.0
6326,19.0,2.112753113351117,9672.0
6327,20.0,2.1981470223296715,7752.0
6328,18.0,2.3922757131505312,3067.0
6329,17.0,2.5572687239329186,1134.0
6330,20.0,2.2041757494409384,7230.0
6331,22.0,2.1391062410318233,7018.0
6332,21.0,2.1646589307069304,6013.0
6333,20.0,2.1478108865278767,7892.0
6334,20.0,2.2104492020311315,6179.0
6335,18.0,2.3135329946259438,4113.0
6336,15.0,2.4902100077893885,1643.0
6337,20.0,2.1833904704689253,5781.0
6338,20.0,2.297265587718004,4308.0
6339,15.0,2.4214868892078703,2765.0
6340,20.0,2.1546659270955018,6359.0
6341,16.0,2.5704299512448303,1841.0
6342,18.0,2.327460711941573,4987.0
6343,21.0,2.0434951519586604,9523.0
6344,19.0,2.198514089434249,4623.0
6345,19.0,2.2633053717326277,6334.0
6346,12.0,2.5908706090582805,1179.0
6347,18.0,2.313198060407368,4549.0
6348,19.0,2.315394234771389,5316.0
6349,20.0,2.268162722327181,5110.0
6350,19.0,2.232090881890571,3718.0
6351,21.0,2.2079341917185475,6051.0
6352,17.0,2.2256976458871143,3975.0
6353,17.0,2.2707897125925514,5744.0
6354,18.0,2.2815516897467307,3206.0
6355,19.0,2.043711631763657,9755.0
6356,21.0,2.1617188766438873,5066.0
6357,15.0,2.2744248036474937,3470.0
6358,20.0,2.2475462572513365,3577.0
6359,15.0,2.3214306070632156,3198.0
6360,20.0,2.0605725754830604,8219.0
6361,20.0,2.1145759580105286,7598.0
6362,22.0,2.096531970027004,6854.0
6363,21.0,2.2416683297853766,5115.0
6364,20.0,2.326413644584417,3712.0
6365,22.0,2.1389429568171767,6661.0
6366,19.0,2.1178557160359257,9994.0
6367,18.0,2.3513368003069393,4628.0
6368,19.0,2.1941475817630685,5078.0
6369,16.0,2.6682309252776837,788.0
6370,19.0,2.229978038321911,4105.0
6371,22.0,2.172291199073686,5749.0
6372,18.0,2.3105209354288285,4046.0
6373,17.0,2.2349624385540263,4871.0
6374,17.0,2.3776649224036746,2834.0
6375,19.0,2.1519673016105227,7589.0
6376,15.0,2.332381788870193,3153.0
6377,14.0,2.5839390781081755,1331.0
6378,20.0,2.2556515913234665,5744.0
6379,19.0,2.19912202230432,5767.0
6380,21.0,2.2074166428783744,4002.0
6381,21.0,2.1905005263299624,6951.0
6382,18.0,2.344943513419717,4541.0
6383,17.0,2.139126019731147,7482.0
6384,18.0,2.189223587042939,6223.0
6385,18.0,2.121463585213818,6962.0
6386,20.0,2.1908181618921203,4628.0
6387,20.0,2.2451573207508377,5770.0
6388,15.0,2.625434832246042,1331.0
6389,21.0,2.294863901611479,3398.0
6390,19.0,2.262758119373303,3306.0
6391,17.0,2.382522362891954,3768.0
6392,21.0,2.034783618669238,9635.0
6393,18.0,2.1458641418102986,8379.0
6394,18.0,2.1922056590109023,4578.0
6395,20.0,2.2255812597139015,4787.0
6396,20.0,2.1517031950198513,5293.0
6397,21.0,2.157071967506184,6770.0
6398,18.0,2.2115398423392274,5577.0
6399,17.0,2.2112430323752235,5292.0
6400,18.0,2.6452733562385324,1179.0
6401,19.0,2.0895614269921907,7835.0
6402,18.0,2.230086133404095,4623.0
6403,17.0,2.2814308569554482,3533.0
6404,19.0,2.565581801647425,1440.0
6405,20.0,2.272729509438205,3412.0
6406,14.0,2.677658181951635,1179.0
6407,18.0,2.5190303935533698,1691.0
6408,18.0,2.213870772673877,5292.0
6409,20.0,2.2721768761199708,4390.0
6410,18.0,2.1439643868211027,6952.0
6411,17.0,2.2124290162456424,4321.0
6412,17.0,2.247789152096948,4497.0
6413,16.0,2.374461767584768,3398.0
6414,18.0,2.093983464305771,8612.0
6415,18.0,2.2954268228683246,3807.0
6416,18.0,2.553427721184057,1342.0
6417,17.0,2.3118630784541767,4628.0
6418,18.0,2.289095993903168,3067.0
6419,21.0,2.117438716430282,6167.0
6420,20.0,2.1637515076407756,7892.0
6421,21.0,2.121491669097557,6644.0
6422,21.0,2.1817525689108486,6013.0
6423,21.0,2.1470245084553,9431.0
6424,17.0,2.3375447960929217,3290.0
6425,17.0,2.154195139142972,6866.0
6426,20.0,2.166065242378709,6937.0
6427,18.0,2.2251408532753785,6447.0
6428,20.0,2.189177978511744,6167.0
6429,21.0,2.2449773961674704,4389.0
6430,20.0,2.1951347943758592,8379.0
6431,21.0,2.2837282012520252,3398.0
6432,21.0,2.2750119559483095,4127.0
6433,18.0,2.380808654491699,2560.0
6434,16.0,2.742609805534573,793.0
6435,19.0,2.3346648633242406,3019.0
6436,22.0,2.109386317446682,8553.0
6437,21.0,2.205209654289608,6880.0
6438,22.0,2.1769506951222874,7130.0
6439,19.0,2.146334683678462,7330.0
6440,18.0,2.3238189684085184,2472.0
6441,18.0,2.1728208483643248,5274.0
6442,18.0,2.482573117563599,1565.0
6443,20.0,2.1436707771578174,7836.0
6444,19.0,2.2079527942769697,6962.0
6445,19.0,2.1101109381316636,7760.0
6446,17.0,2.295556539314765,3398.0
6447,21.0,2.15208604221266,7482.0
6448,20.0,2.335995353586101,3606.0
6449,20.0,2.1341349900206654,8146.0
6450,19.0,2.0798805531446645,8436.0
6451,19.0,2.251779015774309,5607.0
6452,18.0,2.3647947282490915,3114.0
6453,17.0,2.6313244131245668,1134.0
6454,18.0,2.125452350197996,6813.0
6455,19.0,2.115724118195645,6552.0
6456,20.0,2.28844142113333,3703.0
6457,18.0,2.160573267163647,7949.0
6458,19.0,2.125151148980094,8541.0
6459,14.0,2.5197145190869574,1440.0
6460,20.0,2.2783707572253267,3515.0
6461,17.0,2.253443680021905,3699.0
6462,17.0,2.403321189772784,3002.0
6463,18.0,2.262956247117224,5308.0
6464,19.0,2.539405682407182,1641.0
6465,21.0,2.2182359737617015,6933.0
6466,16.0,2.5939931232788638,943.0
6467,21.0,2.1871659238817394,6697.0
6468,21.0,2.2287925073192314,5174.0
6469,20.0,2.132245040388287,8604.0
6470,14.0,2.3857947922266316,2373.0
6471,17.0,2.3452873368439673,4371.0
6472,16.0,2.3060262653818158,3477.0
6473,20.0,2.1343679191310887,8012.0
6474,20.0,2.2635247774100122,4621.0
6475,18.0,2.2614826483351336,4056.0
6476,21.0,2.1158358696118924,9983.0
6477,16.0,2.3352625054999367,3982.0
6478,20.0,2.3018836957826534,3067.0
6479,20.0,2.2165178254988867,4859.0
6480,17.0,2.3698080000498685,3255.0
6481,21.0,2.2825649226364444,4578.0
6482,19.0,2.227428581799691,4688.0
6483,21.0,2.0856943384607716,9767.0
6484,18.0,2.1342915311749424,6894.0
6485,17.0,2.3787605676595676,2990.0
6486,19.0,2.1376263164453606,8944.0
6487,19.0,2.377072286022728,4017.0
6488,16.0,2.4019849213593445,3067.0
6489,15.0,2.4179440815304645,2763.0
6490,19.0,2.1749674085037936,6517.0
6491,16.0,2.634528920859199,1458.0
6492,18.0,2.4572174456982165,2768.0
6493,18.0,2.2136249323413213,6976.0
6494,20.0,2.321436933363143,3398.0
6495,21.0,2.1864479588063057,6431.0
6496,17.0,2.256829016634043,4271.0
6497,22.0,2.1641005821203714,6937.0
6498,18.0,2.372673397917277,2425.0
6499,17.0,2.270261026495685,4321.0
6500,17.0,2.1382813673878154,7854.0
6501,17.0,2.3717820589604304,3929.0
6502,17.0,2.2272652238420414,4578.0
6503,19.0,2.37205896088637,3470.0
6504,20.0,2.283675681484871,5345.0
6505,20.0,2.337534109585216,3128.0
6506,19.0,2.4222653778199454,2482.0
6507,17.0,2.5110914192710814,2373.0
6508,18.0,2.196170612521427,5657.0
6509,17.0,2.2448135711075685,5240.0
6510,19.0,2.2287230250966634,4509.0
6511,19.0,2.361792124670667,2472.0
6512,18.0,2.3206601498715442,4646.0
6513,17.0,2.2337089690420098,4061.0
6514,20.0,2.1326808961578316,7482.0
6515,18.0,2.41255351838681,3290.0
6516,17.0,2.4100718323061048,3346.0
6517,17.0,2.1638715538132955,7330.0
6518,18.0,2.1482314989661044,6951.0
6519,14.0,2.420703329223695,1939.0
6520,18.0,2.2374115992652013,5946.0
6521,18.0,2.1605900387388024,5267.0
6522,17.0,2.230813373261283,5999.0
6523,19.0,2.2449575502507844,5415.0
6524,21.0,2.251236182106497,3336.0
6525,19.0,2.196102482186427,4397.0
6526,18.0,2.1675618307792237,7599.0
6527,18.0,2.0857772247805197,9629.0
6528,17.0,2.2389681567451736,4749.0
6529,21.0,2.3250911389599587,4182.0
6530,19.0,2.3534876764164983,2492.0
6531,20.0,2.2978233413051288,5429.0
6532,16.0,2.4538269578528435,2530.0
6533,19.0,2.288596000706029,3019.0
6534,19.0,2.1696029940862886,6447.0
6535,19.0,2.2364575276877883,3606.0
6536,17.0,2.1993765887765044,6552.0
6537,17.0,2.3552010207831007,4008.0
6538,18.0,2.359838668553564,3206.0
6539,19.0,2.2639038779681595,6133.0
6540,20.0,2.302604645734598,2887.0
6541,20.0,2.219502401577917,5801.0
6542,20.0,2.226612629831314,7478.0
6543,17.0,2.16710974066054,6234.0
6544,17.0,2.351975315472725,3810.0
6545,16.0,2.241287294362617,4217.0
