id,Delta,R0,i0
6489,20.0,1.6191833916612113,7935.0
6490,22.0,1.5818190625425306,8087.0
6491,18.0,1.8737603743466702,2558.0
6492,18.0,1.7617318498204622,4493.0
6493,14.0,1.6624231860961514,5643.0
6494,14.0,1.8252675680770931,3772.0
6495,13.0,1.8938004968153008,1997.0
6496,21.0,1.6215974781461326,6091.0
6497,18.0,2.0276332243462813,995.0
6498,22.0,1.550496204968714,8087.0
6499,19.0,1.765695745250689,4938.0
6500,18.0,1.8254455805801952,2443.0
6501,19.0,1.575589157570578,8767.0
6502,17.0,1.7174646614355737,4881.0
6503,17.0,1.5801121230018702,7383.0
6504,17.0,1.8171813873688367,2680.0
6505,15.0,1.688248767182562,4117.0
6506,22.0,1.659131979695433,5581.0
6507,18.0,1.9308519406261733,1899.0
6508,20.0,1.6913402693681103,5637.0
6509,21.0,1.5484154453902064,8940.0
6510,17.0,1.6970405265298154,4713.0
6511,20.0,1.6849565924034071,5700.0
6512,17.0,1.634830111883387,5862.0
6513,19.0,1.6450018860685274,7146.0
6514,17.0,1.8599014147932444,2971.0
6515,12.0,1.931344061035663,2144.0
6516,17.0,1.6464828330870342,5178.0
6517,19.0,1.5774896311100222,9531.0
6518,18.0,1.6122473645199409,9384.0
6519,14.0,1.8309806063747276,2450.0
6520,16.0,1.7049170780470264,4427.0
6521,21.0,1.5546693902896773,9078.0
6522,18.0,1.6460591740350168,7063.0
6523,16.0,1.6006811097195233,8783.0
6524,18.0,1.561439218735956,9142.0
6525,16.0,1.6337227080604442,6812.0
6526,19.0,1.679013498103549,7250.0
6527,22.0,1.5653417093055466,8520.0
6528,18.0,1.6522827012313497,5643.0
6529,21.0,1.676368313915852,5146.0
6530,19.0,1.6281763670062348,7063.0
6531,15.0,1.6096052528795104,6627.0
6532,17.0,1.688145808562062,6923.0
6533,15.0,1.8859198323450195,2863.0
6534,19.0,1.7670254794458362,3387.0
6535,15.0,1.741294108211494,5129.0
6536,14.0,2.1583094269150456,659.0
6537,18.0,1.6172548335376038,6449.0
6538,17.0,1.7288762218478446,3517.0
6539,20.0,1.6942700481942712,4374.0
6540,20.0,1.5265075159463757,9124.0
6541,14.0,1.6167234929198675,6078.0
6542,13.0,1.7946226007772232,2971.0
6543,21.0,1.6009166846909189,8576.0
6544,18.0,1.6442129710345041,8010.0
6545,18.0,1.6426915698740652,7577.0
6546,20.0,1.544054179120463,9900.0
6547,16.0,1.7762839037139755,4745.0
6548,12.0,1.9321079975914695,1815.0
6549,20.0,1.591185347076002,9832.0
6550,17.0,1.568046625346156,7602.0
6551,14.0,1.8011799014435343,3140.0
6552,18.0,1.8012724231504498,3387.0
6553,18.0,1.7949269342910061,3452.0
6554,17.0,1.5505391381651512,8402.0
6555,19.0,1.6997699424317132,4485.0
6556,19.0,1.7294775546085421,5812.0
6557,13.0,1.9436457701509822,2144.0
6558,16.0,1.6008740022129213,9362.0
6559,18.0,1.6258233513055185,7294.0
6560,17.0,1.6404228060267099,8321.0
6561,19.0,1.6572637764575848,7888.0
6562,14.0,1.7453176569771176,3649.0
6563,17.0,1.637371852752777,6142.0
6564,15.0,1.9483323126092216,1883.0
6565,16.0,1.588788656725318,9195.0
6566,14.0,1.6728458043833392,6218.0
6567,18.0,1.692083452092634,5908.0
6568,19.0,1.5251209075986765,9036.0
6569,17.0,1.7558967608881213,5201.0
6570,16.0,1.624950618983547,6683.0
6571,17.0,1.7498268955770175,4858.0
6572,17.0,1.7183508231946196,4945.0
6573,20.0,1.8321690365728232,2517.0
6574,15.0,1.6184889625303553,7172.0
6575,15.0,1.7545924516599438,5300.0
6576,20.0,1.763790991075344,3264.0
6577,16.0,2.059396018340177,897.0
6578,20.0,1.643260226778525,5122.0
6579,19.0,1.6366914890531714,5251.0
6580,17.0,1.5996271946303342,7430.0
6581,14.0,1.7020920296521134,4263.0
6582,15.0,1.99162786279223,1455.0
6583,21.0,1.6527405556263122,5703.0
6584,19.0,1.6446045463582049,8488.0
6585,21.0,1.580693344449305,8705.0
6586,18.0,1.791394545908927,2689.0
6587,19.0,1.6014824567026749,6545.0
6588,17.0,1.6952005110498287,5122.0
6589,16.0,1.9353611615192052,2061.0
6590,18.0,1.6668767849279078,7306.0
6591,18.0,1.7303177480518952,4903.0
6592,16.0,1.6759404526402828,5300.0
6593,20.0,1.6016760832560761,6162.0
6594,13.0,1.8486126012307857,2532.0
6595,17.0,1.9018925194546772,2334.0
6596,12.0,2.189792607970518,753.0
6597,20.0,1.6759425259845795,6146.0
6598,21.0,1.6539076562396635,5302.0
6599,16.0,1.7280932878489672,4540.0
6600,17.0,1.8544043620827093,2485.0
6601,19.0,1.7549040132091895,4752.0
6602,18.0,1.796876883689629,2599.0
6603,15.0,1.7883643701148828,2952.0
6604,19.0,1.6970744796311696,5655.0
6605,21.0,1.5821008652603654,9124.0
6606,19.0,1.540836773876102,9613.0
6607,18.0,1.6604195178019776,5514.0
6608,21.0,1.607500999999666,6820.0
6609,22.0,1.6226969556156452,6923.0
6610,12.0,1.9155850125951042,1728.0
6611,18.0,1.597093848110997,7587.0
6612,16.0,1.6492194863757814,6449.0
6613,15.0,1.8054717016554733,4123.0
6614,19.0,1.6140398831948397,8493.0
6615,21.0,1.7245442311443993,3533.0
6616,17.0,1.7688521362083247,4493.0
6617,17.0,1.735844133377699,4036.0
6618,13.0,1.849222771739586,3437.0
6619,21.0,1.6344026655200257,5655.0
6620,22.0,1.5793190476514167,7798.0
6621,19.0,1.580027449305177,8755.0
6622,18.0,1.7826548314241937,4525.0
6623,19.0,1.8118965869097678,3303.0
6624,21.0,1.578763848258581,6840.0
6625,21.0,1.5959014491695178,9778.0
6626,16.0,1.896225847646749,2714.0
6627,14.0,1.7409346113581161,4493.0
6628,19.0,1.7757436632564925,4521.0
6629,19.0,1.6170983618606865,7117.0
6630,18.0,1.837086875550095,2959.0
6631,20.0,1.6861313479580278,5178.0
6632,19.0,1.5706483931846347,7135.0
6633,19.0,1.6026758201631555,6154.0
6634,22.0,1.522733495058806,9120.0
6635,21.0,1.6580170125795342,5302.0
6636,17.0,1.9416088738958122,1607.0
6637,16.0,1.6488680328593128,7432.0
6638,19.0,1.628832062652992,8935.0
6639,18.0,1.8033262829647512,2532.0
6640,17.0,1.5915055393270419,8705.0
6641,16.0,1.6531469899961235,4938.0
6642,20.0,1.560879484638637,7947.0
6643,18.0,1.671197480964591,5999.0
6644,20.0,1.586649154031806,9290.0
6645,20.0,1.5550715180021746,8362.0
6646,20.0,1.7433306365458132,3772.0
6647,19.0,1.673186072650667,5201.0
6648,18.0,1.6827212543696997,6879.0
6649,17.0,1.653620860044165,8040.0
6650,18.0,1.6772531272581934,5180.0
6651,18.0,1.6139397342107005,7675.0
6652,16.0,1.7796964329759946,3017.0
6653,14.0,1.6577774114809352,5450.0
6654,19.0,1.639019474810044,5708.0
6655,15.0,1.5879590179640959,7063.0
6656,15.0,1.9686734078546713,2183.0
6657,19.0,1.7163420953857564,4782.0
6658,16.0,1.7711648613905875,3405.0
6659,19.0,1.7702242265020163,3625.0
6660,14.0,1.6911132386371313,5603.0
6661,15.0,1.6650130669013055,5247.0
6662,18.0,1.6724696021732217,5581.0
6663,17.0,1.6543352590060865,6818.0
6664,17.0,1.7055737363613408,5090.0
6665,19.0,1.5339593757329342,8438.0
6666,14.0,1.8296325628984345,2991.0
6667,18.0,1.5874211374872533,8706.0
6668,18.0,1.6968859255510533,5302.0
6669,19.0,1.634946105258765,8424.0
6670,15.0,1.9666851637231377,1455.0
6671,19.0,1.8054666543349887,2714.0
6672,21.0,1.5997825230331215,6898.0
6673,17.0,1.6796013336553284,6449.0
6674,19.0,1.641788947420459,5611.0
6675,17.0,1.911971002261075,2532.0
6676,15.0,1.7554725255792107,3734.0
6677,17.0,1.7151185829676086,4384.0
6678,18.0,1.6093242460609938,8982.0
6679,14.0,1.7638070183105785,4729.0
6680,18.0,1.614162286714731,8582.0
6681,13.0,1.752301027271907,4036.0
6682,17.0,1.7622714616387134,3558.0
6683,19.0,1.7349592707059598,4938.0
6684,18.0,1.7309380799850451,4613.0
6685,14.0,2.006345563326791,1576.0
6686,17.0,1.653423065770337,7577.0
6687,18.0,1.7561247581908161,5437.0
6688,20.0,1.7030771109636644,5159.0
6689,17.0,1.647121422072547,5490.0
6690,21.0,1.6103561186896809,7054.0
6691,14.0,1.9359655423212765,2186.0
6692,20.0,1.7177783161393478,4219.0
6693,15.0,1.8642899333202814,1909.0
6694,18.0,1.7218018815187695,3639.0
6695,15.0,1.6654968927816614,6717.0
6696,17.0,1.8926967263816386,2507.0
6697,15.0,1.5982498101558642,7678.0
6698,16.0,1.7536659390994567,4938.0
6699,15.0,1.645796308424722,5514.0
6700,18.0,1.7997681896757776,3772.0
6701,22.0,1.5502197069784494,8353.0
6702,21.0,1.6475294252230774,6260.0
6703,16.0,1.617511833247448,5920.0
6704,16.0,1.5965207432367232,8199.0
6705,16.0,1.7791284671682153,3994.0
6706,18.0,1.8490721304821047,2787.0
6707,16.0,1.8473475346372747,2183.0
6708,15.0,1.7271427410592903,5251.0
6709,18.0,1.636395340517672,8071.0
6710,17.0,1.7519446612164271,2971.0
