age,population
0-4,182926
5-9,164344
10-14,147637
15-19,135057
20-24,152927
25-29,235955
30-34,234086
35-39,194788
40-44,163198
45-49,151467
50-54,143899
55-59,146976
60-64,138759
65-69,117164
70-74,93079
75+,157641
