geo_area_id,comuna,id,popul,LEI,II,EI,HDI,deaths_sim,deaths_real,delta
13101,Santiago,255,404495.0,0.7916721681102462,0.8731369138681019,0.9240986666666664,0.8612224786331003,115.0,449,-54.58917174980361
13102,Cerrillos,256,80832.0,0.7828172274855182,0.8003426019267673,0.7134986666666666,0.7646156070742575,30.0,87,-44.92032841257095
13103,Cerro Navia,257,132622.0,0.7524468783774698,0.7503815144342327,0.6579608666666666,0.7188738378251355,360.0,332,-45.93977885906485
13104,Conchalí,258,126955.0,0.7848716556262343,0.7606967256476325,0.7054259999999999,0.7495844206924258,274.0,275,-46.89657871481741
13105,El Bosque,259,162505.0,0.777235991973991,0.780019166650946,0.6738759999999999,0.7420150643512355,399.0,251,-50.980263032043645
13106,Estación Central,260,147041.0,0.7908096862834122,0.7843783492402626,0.7291446666666667,0.767603760602891,149.0,218,-44.19975641564762
13107,Huechuraba,261,98671.0,0.7263303616728273,0.7756310431980501,0.6417068666666667,0.7123750316405906,117.0,165,-49.6521857244937
13108,Independencia,262,100281.0,0.8215508290049144,0.7511049022964621,0.7224926666666666,0.7639345628811638,221.0,315,-48.20724972179944
13109,La Cisterna,263,90119.0,0.8565699174966216,0.8357402699173558,0.8602353333333334,0.8507797438875497,240.0,147,-47.96927574284822
13110,La Florida,264,366916.0,0.7730943183285796,0.824255157411454,0.7911553333333334,0.7958880273849108,478.0,523,-51.55799020666778
13111,La Granja,265,116571.0,0.7635817892649339,0.7517212743601791,0.6688366666666667,0.7267931506083918,300.0,233,-49.66204227806463
13112,La Pintana,266,177335.0,0.6737940167762572,0.7585853283088958,0.6425743333333334,0.6899511154393939,406.0,373,-44.45185214890543
13113,La Reina,267,92787.0,0.8906467484939784,0.9489075586585644,0.9682226666666666,0.935337211721082,147.0,99,-57.267338570869086
13114,Las Condes,268,294838.0,0.9097742586749534,0.971055849027744,0.988014,0.9556825375699972,69.0,342,-61.0192633217528
13115,Lo Barnechea,269,105833.0,0.8311149444987538,0.9216213654980652,0.813262,0.8540462078302985,71.0,83,-62.05524961886873
13116,Lo Espejo,270,98804.0,0.7594065168258313,0.7845034889370971,0.6900426666666667,0.7435583379271185,182.0,200,-45.03375315561592
13117,Lo Prado,271,96249.0,0.7877073652927261,0.7755187073293308,0.6979893333333334,0.7526654661791344,301.0,157,-42.44292746051053
13118,Macul,272,116534.0,0.8313343920212529,0.8422425517639278,0.8413459999999999,0.8382930268975397,231.0,157,-49.551054013794676
13119,Maipú,273,521627.0,0.768125510704614,0.823405953480187,0.8087700000000001,0.7997552046313077,411.0,603,-47.25972317631703
13120,Ñuñoa,274,208237.0,0.9003631947562933,0.9477368475070044,0.9933613333333332,0.946391687083812,281.0,315,-60.94356672784045
13121,Pedro Aguirre Cerda,275,101174.0,0.8155968912382215,0.7675652735506512,0.7337833333333333,0.771589379162036,177.0,236,-49.5951455637275
13122,Peñalolén,276,241599.0,0.7498674823400852,0.790376339854907,0.6608190666666667,0.7316448822204695,140.0,372,-48.25693615513249
13123,Providencia,277,142079.0,0.9173161571003532,0.9485456966658834,1.0440386666666666,0.9684962901386782,57.0,186,-61.33876176351511
13124,Pudahuel,278,230293.0,0.7083440001847195,0.7645654599558765,0.7238526666666666,0.7318740650157036,386.0,272,-43.32027324211295
13125,Quilicura,279,210410.0,0.6671438468950093,0.8387343359231381,0.763492,0.7531522872901115,253.0,186,-46.73122545316547
13126,Quinta Normal,280,110026.0,0.8139824321776606,0.7947605043034851,0.686444,0.7629313725917364,270.0,208,-46.08515618041057
13127,Recoleta,281,157851.0,0.7757658357945353,0.7423084494044507,0.6723046666666667,0.7288313746411765,326.0,374,-43.46296101617106
13128,Renca,282,147151.0,0.725182521472911,0.7829498671955004,0.6748286666666666,0.7263148694385396,250.0,245,-43.31878645576803
13129,San Joaquín,283,94492.0,0.8142186854241649,0.8150182974636738,0.7470893333333333,0.7914563839021366,291.0,162,-44.15029470019385
13130,San Miguel,284,107954.0,0.8555778053265565,0.8516909968280322,0.8160753333333334,0.840925016616441,149.0,213,-50.112208664671556
13131,San Ramón,285,82900.0,0.7671044849841936,0.7720125282883809,0.6053345333333333,0.7103811684229365,289.0,235,-48.10552773765248
13132,Vitacura,286,85384.0,0.9148312513697128,0.9968986001558386,1.0787786666666668,0.9945839408322074,45.0,78,-62.28150482770612
13201,Puente Alto,287,568106.0,0.7259250930233221,0.7739226100597637,0.7214153333333333,0.7400451852988967,851.0,734,-46.96069855930312
13202,Pirque,288,26521.0,0.7499748617395675,0.8475578977616286,0.735982,0.776296732514975,70.0,33,-48.22029511124494
13203,San José de Maipo,289,18189.0,0.7895775670296219,0.8281981083559978,0.6544946,0.7536071916864455,55.0,14,-59.152356347288446
13401,San Bernardo,293,301313.0,0.7434627886624635,0.7628215580175212,0.6763973333333334,0.726598829207718,430.0,402,-47.054914759107284
13604,Padre Hurtado,305,63250.0,0.7647303942509421,0.738679808718814,0.6591959333333333,0.7194374366843178,140.0,65,-47.04846274623267
