age,population
0-4,27354
5-9,28339
10-14,29419
15-19,29314
20-24,28221
25-29,33034
30-34,31685
35-39,29743
40-44,29431
45-49,31319
50-54,32853
55-59,34345
60-64,31785
65-69,25874
70-74,20785
75+,32642
