age,population
0-4,76144
5-9,64728
10-14,57721
15-19,68051
20-24,110263
25-29,187691
30-34,174188
35-39,130066
40-44,104091
45-49,98931
50-54,96652
55-59,95185
60-64,88874
65-69,80186
70-74,69125
75+,126810
