year_week,work_red
2020-07,0.9312499999999999
2020-08,0.8182
2020-09,1.0057714285714285
2020-10,1.0057714285714285
2020-11,0.9140714285714285
2020-12,0.4347714285714286
2020-13,0.10417142857142858
2020-14,0.07714285714285714
2020-15,0.06854285714285714
2020-16,0.08635714285714284
2020-17,0.10422857142857143
2020-18,0.11239999999999999
2020-19,0.11744285714285715
2020-20,0.14402857142857142
2020-21,0.16465714285714286
2020-22,0.1962142857142857
2020-23,0.21412857142857145
2020-24,0.25775714285714285
2020-25,0.2817142857142857
2020-26,0.2802714285714286
2020-27,0.3058
2020-28,0.32321428571428573
2020-29,0.3332714285714286
2020-30,0.3282285714285714
2020-31,0.32418571428571435
2020-32,0.3243142857142857
2020-33,0.31962857142857143
2020-34,0.3399285714285714
2020-35,0.3378285714285714
2020-36,0.33369999999999994
2020-37,0.3751428571428571
2020-38,0.4086857142857143
2020-39,0.40385714285714286
2020-40,0.4114
2020-41,0.43472857142857146
2020-42,0.43541428571428575
2020-43,0.4218571428571428
2020-44,0.3758142857142857
2020-45,0.3383
2020-46,0.29464285714285715
2020-47,0.3059571428571428
2020-48,0.3161
2020-49,0.4255714285714286
2020-50,0.43129999999999996
2020-51,0.3500142857142857
2020-52,0.15582857142857143
2020-53,0.06885000000000001
