age,population
0-4,137095
5-9,127175
10-14,116354
15-19,113585
20-24,125775
25-29,180083
30-34,179594
35-39,159600
40-44,146595
45-49,148167
50-54,151034
55-59,156186
60-64,144282
65-69,117214
70-74,90665
75+,160454
