beta,pop_infected,rel_death
0.03418811600758679,495,0.7258936132324683
0.035156137838931914,426,0.6078783076792906
0.034636528124907764,473,0.7235627087493023
0.03607641093236209,483,0.6729324780209482
0.03561629021148606,483,0.701856621366964
0.03447702098417238,458,0.7104855988747503
0.03732005944790999,486,0.6313307540862713
0.03705360662095053,466,0.6837337469171963
0.03150210245146535,482,0.6976805947696492
0.04090891590520645,482,0.6608875823546737
0.03764715368601524,467,0.6473923493956297
0.03238504818001353,471,0.6888392388828611
0.036554921625433896,448,0.6637338074925594
0.03542192759489568,453,0.6542504738197026
0.03489579454151394,457,0.712361636240742
0.03449002022088619,457,0.7148185230990909
0.03639793644886775,474,0.653546802053327
0.03763008066455614,466,0.6455277491481969
0.03479755104132233,455,0.6490675940934573
0.034741852824922,454,0.6460411707879647
0.03714384699062679,490,0.6402668343839799
0.030710953045517346,467,0.7546811937850625
0.033108026357705704,480,0.7268970024062372
0.03362571415422271,480,0.7326210855417995
0.0358996432047598,426,0.6114597326930437
0.03637848343227436,449,0.6689225186751927
0.036087653533536566,483,0.6723772596790033
0.036668305076101144,478,0.6388471968489994
0.0355040296572736,438,0.6108529605367536
0.03621543167212175,445,0.6661028407801844
0.03122992031715878,489,0.755217694101604
0.034043204471447604,470,0.6954172465517238
0.035520928424113564,484,0.6923196881036513
0.034678946128013775,496,0.6623119287215534
0.03562864864466968,451,0.6645942197948439
0.036735849336184165,488,0.6339501351671492
0.03618841947803775,454,0.6760627042919689
0.03593048264670427,443,0.664638526618644
0.03446001365663674,500,0.6957331366836337
0.03402898784161089,471,0.7440169911028081
0.035270369234379845,401,0.6844410081178555
0.03388992946603549,471,0.6963645450066244
0.03845383437597649,414,0.631024254231818
0.03361938032080955,481,0.7263578746622933
0.0358942774352768,332,0.6578103522064992
0.03571319244005513,485,0.6876382792581021
0.03593121818607144,446,0.6628421336414826
0.03679813682385727,438,0.638422468565772
0.03629921081127433,455,0.6567489176950251
0.035115474485382325,458,0.7204576660736066
0.03408778875923723,496,0.7178693114868123
0.036298059628842166,475,0.6556953326394632
0.03407468554352616,472,0.6913413131695851
0.035644628798859684,488,0.6213843077514242
0.03683297730575923,482,0.6737928361321786
0.041215629412863754,438,0.6330117261601793
0.03551151286882012,463,0.6547364137046798
0.03412105591026755,473,0.6978209102192413
0.03549352845270462,488,0.6516807530341976
0.04041799561601844,439,0.6498021051993996
0.03494939170800572,456,0.6433087112086638
0.03690749261335294,494,0.6372838522594876
0.03876263875050012,436,0.7467478191407488
0.038979454473478,460,0.613811764595916
0.03450785483294338,453,0.7240095415506244
0.03560690615716133,480,0.6703434125983257
0.033475631319100765,492,0.750823973353856
0.03882520745025258,489,0.6500392759209198
0.03764180056237734,456,0.6358163543754188
0.037390346270456856,468,0.6838058083909145
0.034327487151276634,497,0.7138700193268158
0.03159702979614279,449,0.7476076904396981
0.040789673676996124,484,0.7234027444198571
0.034496075294328146,413,0.6152252729513202
0.03765994771948319,467,0.6412898417611108
0.03891475512739012,277,0.5932931518441035
0.03649694112892992,442,0.7422434596484995
0.03463943484021696,499,0.7068627308325629
0.036768179964219855,464,0.6807487325655398
0.035278279106699985,457,0.7166529626835174
0.03941964508944342,477,0.6768658230310024
0.03638407751157645,491,0.6768118841500963
0.03752724711170811,476,0.687365534944453
0.03431573301864509,451,0.6810399126960577
0.037994294736284365,468,0.6433838685278666
0.03958311499371222,489,0.7311820245906581
0.03552170348680639,461,0.6515098062918372
0.034938009411549495,488,0.6291544965601978
0.036950216414160394,389,0.7827016850396789
0.035148925427371656,486,0.6229692781659196
0.036138689163517944,481,0.6719230330533005
0.03900634076821158,430,0.6919111601089044
0.034091348069629046,442,0.7113539568929632
0.03662003483111141,493,0.7884671531969716
0.03692347758919895,466,0.6864232447926839
0.03199312712776739,482,0.6938227404625169
0.03503277352108863,435,0.6182311647114422
0.03474553180804421,462,0.7118195851785839
0.03391569502546453,473,0.6968828010562005
0.03511233040730928,456,0.6490156922514636
