beta,pop_infected,rel_death
0.03720108242462515,132,0.24099534582840332
0.039506268510681966,143,0.21897217228693036
0.03856927595044898,138,0.22025711668759312
0.03941567174281301,136,0.21572710233398673
0.036172174231893284,130,0.23716832740922855
0.03949564628819231,133,0.21506985176651738
0.038384480824645635,133,0.22374605674006862
0.03531887124035009,118,0.24138887691630745
0.03646219784818638,125,0.19127044597225795
0.03376584878089665,112,0.28002027325307394
0.041366397734425416,113,0.18703370525280677
0.0331238182266207,142,0.2146379650141611
0.03815824459680721,137,0.22499571164724128
0.03944755007252713,121,0.25792475568358214
0.039136516748673564,126,0.2513898561590854
0.03866844392583751,134,0.25455052575707604
0.04174972137466647,141,0.22080149659573742
0.03644028758911265,122,0.18898622909891447
0.03907263953139404,134,0.22463345687594827
0.03294407365656203,134,0.216447686433293
0.036466542912631066,132,0.24218764754844418
0.036972051479890716,132,0.24696287958831814
0.03538859344815657,154,0.2275253704140444
0.04193380917270908,122,0.20614273221276555
0.03729146683061202,102,0.22185596024389484
0.039673599619867356,136,0.21770117358363641
0.03702927059599367,132,0.2297748734996978
0.040502787774514194,154,0.16869445804668598
0.038219770468717044,140,0.2233065060084382
0.03914088948606126,128,0.24867307157910237
0.03809149711154694,156,0.18683586570958546
0.0403419925236844,133,0.21761999348102248
0.039220970858666326,140,0.24768287423950294
0.03733466525825458,154,0.19592186418848445
0.037848913546415966,137,0.22415789403254197
0.03818566070031326,115,0.21004275924255356
0.03307621351346791,139,0.21578010169788997
0.03638496553308493,150,0.277890806456171
0.038289460810321,138,0.22044389946831017
0.03868380641760019,128,0.2501202736863861
0.03512426705631725,119,0.2330350427425793
0.04260391035468852,123,0.21252071808067477
0.03633476511198979,97,0.23904540258319132
0.03890184970470214,139,0.22265482504341252
0.036760475231869386,95,0.23389830205637904
0.042651509925908736,148,0.22155279191929916
0.038486162436531954,143,0.21758360230421836
0.03833654086705871,162,0.17645398049118488
0.038196593036455014,139,0.21677124392075983
0.038782954313399655,135,0.18836094608102416
0.041273392349199994,143,0.21374559477050978
0.04075535838333143,110,0.225612411483812
0.03484782827115783,156,0.26214339163183326
0.03389154691605049,112,0.27507237861190087
0.030420567085935938,416,0.205860080569504
0.03796495075542962,139,0.2222510821569173
0.03953455041180751,121,0.19258553043763776
0.038001138833155854,134,0.18862299398211277
0.041100600541644994,155,0.21457343244358143
0.037868916199683626,148,0.22495007066665695
0.03430741212306712,156,0.2587611428629579
0.04219969113967303,123,0.19860280735321875
0.03469272662606042,120,0.2349734170869327
0.039403984414776216,133,0.21455614257798272
0.03610555731957788,130,0.23277055405353447
0.04051151852806119,151,0.22723631500680413
0.040846358400141315,141,0.21222135462986713
0.04218721681823856,121,0.2544597968372862
0.038545900893396476,135,0.1894121211671091
0.04620527365656084,121,0.2194870702428822
0.0365649828510254,131,0.24576052167040696
0.038066819570418096,125,0.2481414218456008
0.035309980829040806,117,0.24355167501452213
0.041850899368695266,119,0.20363505128756704
0.03750290254482603,154,0.19360161658692862
0.03789253634744081,149,0.22431582007106007
0.038116394492225536,136,0.21952792093495108
0.03592274539833447,127,0.2363215881478231
0.04679707694216835,113,0.2181991257052704
0.033173904442801196,145,0.1995474896369007
0.038036899639767474,136,0.182065978017546
0.03838043221655636,128,0.25074131499976593
0.04278141158865271,121,0.2028444120885231
0.03820492342368523,88,0.22268944973081262
0.036155104419105875,96,0.23344875628913575
0.039449214163112256,133,0.21359400669908107
0.04119329243314433,110,0.1836130530475804
0.03910130379311299,90,0.18238131151463555
0.04200541792764138,144,0.199818166652451
0.03813566431737175,130,0.1598754033400438
0.03891785232123151,135,0.2256731347435282
0.04066623704977432,146,0.2030159514937074
0.04052619239674289,172,0.20112067885363694
0.03526071960134799,152,0.22964002570722358
0.03641797461124453,147,0.28231101608992404
0.042055780094869134,124,0.20253566985660992
0.03809709536694105,139,0.175797100162935
0.035327173401420345,105,0.19086448704562897
0.039087687195098336,125,0.17341084330793943
0.04068075336181795,155,0.21187120397551007
