beta,pop_infected,rel_death
0.05883603661128054,377,0.3049548333388599
0.06102666089577691,408,0.27442189174975967
0.06664729203326865,391,0.28697229040661365
0.06150406689941543,461,0.2799594343984161
0.06442888519079347,473,0.3108075964328931
0.060329179642494415,402,0.29920224092921066
0.06110260333729804,497,0.3158288540224594
0.057631759869553406,441,0.28274894430766434
0.06665790696223539,411,0.28910569436576383
0.05579737968578773,469,0.27935188352146745
0.0659540519019924,386,0.2920708593140106
0.059496908566292875,465,0.27344401348395486
0.06324460638558112,430,0.30011410975913927
0.060313922370822795,403,0.2990178039529135
0.06389029216024718,429,0.3081082049756781
0.06072348634969275,396,0.2658360877207505
0.06525690925245767,472,0.2776251646138987
0.0606732617116273,339,0.27041193093805516
0.06012073205836674,401,0.3190733858294087
0.06501673489660866,459,0.262151811354568
0.06369826250760792,406,0.2618762033198139
0.06477329194418267,425,0.25541443147998044
0.06096869217184669,445,0.2755569623144862
0.06538534261463785,409,0.30065339015043613
0.06447317211727006,400,0.2645667043767963
0.06220573882771091,409,0.2862924846234161
0.0643124111476305,477,0.31009629797865895
0.06592760988209354,450,0.29188346170587576
0.05392978362280901,356,0.3309808926827096
0.06301499974772361,375,0.28334483958294904
0.06584425248621735,387,0.26352537032308143
0.059167085693994946,405,0.26981929392872567
0.06276270384373955,483,0.28148985013663175
0.05628523602096847,434,0.30822798502676385
0.06266655148694553,429,0.2711733163086423
0.06193574111528601,411,0.2514023936268751
0.05652310334014665,437,0.3106620128813474
0.06528597376424469,380,0.2573321377336959
0.058454399095837675,381,0.2875896199780694
0.06251669655888634,309,0.24936937319176278
0.06094688880876624,373,0.3194051518147102
0.06619258468319207,498,0.22801610524965604
0.062206281764509264,461,0.29343071527606013
0.06504212576217024,479,0.30229896518375027
0.060565675235478206,489,0.2563654899889343
0.06691342199235853,395,0.2907783204200986
0.06044424004820069,499,0.2597840370640013
0.06417603995618108,403,0.2643796114190675
0.05441368416070549,469,0.276572313261964
0.06100063340429846,442,0.3099659215546396
0.0633207081090009,480,0.3017254142181286
0.058635306070685574,413,0.2738491370894864
0.05923612349844552,363,0.2753445992253573
0.06631837155682285,307,0.2905781790389583
0.05767642162480994,434,0.2851303237904298
0.0634928130769599,378,0.2820306501592825
0.06441110028729562,431,0.3116112478967645
0.057429515162589484,383,0.28551571027145334
0.06029581227247356,428,0.2841126570039648
0.06069203427278151,396,0.2644469508590256
0.06401475351132133,386,0.26193873520813227
0.06493501272604514,397,0.2603793071665337
0.061203806563332616,427,0.28872278976049337
0.06711811293694418,427,0.28751195799138796
0.06423379950681671,419,0.2606954395574557
0.0646193067364947,405,0.30988046290908905
0.06385319764040571,483,0.29601902825467047
0.06241167103721723,397,0.2409603367864979
0.06224259957979808,450,0.24953720171326726
0.0636441433577693,483,0.2774346529605982
0.0588938891296438,409,0.27165957315448336
0.05898702313081685,325,0.27021949553717045
0.05832713953918438,410,0.27439666472376184
0.06750323796090965,425,0.30197495396722357
0.0607109515560005,439,0.302641005833797
0.05872099597227648,472,0.2817631964838619
0.05685133131378358,416,0.3135444552451401
0.07234366193171435,255,0.24383143915865663
0.0626267556945829,396,0.24559719946338937
0.06058913352709293,398,0.2656046309945985
0.05791462961204921,404,0.27261331242702186
0.05488785933284606,471,0.2773638272080879
0.06005252888615499,421,0.2669283191938341
0.06023719794974493,402,0.3100181021081466
0.06687188554102415,405,0.24659382749649747
0.062247304547592516,380,0.2768505867529735
0.05612428858998012,434,0.30892103111123526
0.06207564115459329,451,0.24834966794534022
0.06607674005568759,425,0.28747606219508154
0.06406084654556804,405,0.26555250568289374
0.06459814554369046,450,0.2617747203235625
0.06711832825724624,422,0.2940870740512442
0.06413148503844465,429,0.3027975887797695
0.06428157824735553,404,0.2651631231159919
0.06203553188424679,489,0.22555547739508458
0.0643717711507126,451,0.26469203967467186
0.06391052138104006,476,0.26179241081598104
0.06071059219914792,401,0.27405253517280864
0.05993976767284409,400,0.2655467634968363
0.06789792324400451,411,0.2855488682124078
