beta,pop_infected,rel_death
0.04368518158426036,114,0.19765652383516205
0.04288223551130522,114,0.2532689196944646
0.04782622282516278,96,0.23896871353510427
0.05164596660089348,50,0.20387099852862642
0.049788846513791375,86,0.229105390344698
0.05282408122000515,78,0.1974874813338138
0.048827778836154065,52,0.19428401667747242
0.04916250566946681,106,0.20440309335540288
0.04740116411351682,91,0.21291651865993427
0.049773328882370856,85,0.20978560717573153
0.04401988368347223,73,0.2314424432455912
0.050914985603449314,95,0.22868241642712092
0.04446918713283816,75,0.2287183336274309
0.051391123081642565,87,0.20383068770845728
0.04493174258559508,76,0.2335935652032291
0.046852244518902936,94,0.2171913293684892
0.04717271459781014,133,0.23800104353010676
0.050037537178360944,70,0.2136339545587621
0.05100062293484409,84,0.21121295259063022
0.0471282604305054,103,0.20258421890660702
0.04975536447825103,65,0.21880385135830147
0.04849498361147441,68,0.21508217452293232
0.05212186874624208,86,0.20406122079860414
0.04243822342531869,124,0.26785834927417174
0.05209333902668715,52,0.2020039412846663
0.05100908685586452,97,0.22755802664922636
0.04371817343703668,113,0.19599689984020185
0.045680401204822536,73,0.23647267099058888
0.049955740950360664,87,0.21454254401027043
0.04722086343435574,93,0.21173950415112594
0.05041257450921462,70,0.22049339430059534
0.04896518615350009,87,0.20136848910974042
0.0515481099536285,94,0.1987370302880712
0.0470745351239071,92,0.21107615438098842
0.04740552633975183,93,0.2356039043349173
0.05105488154963137,86,0.2028923735034458
0.045443813720215616,79,0.24844836440905227
0.05141307112033175,87,0.2021893830989669
0.04253298635798429,103,0.269443517850879
0.04681686953213953,97,0.22671647964798552
0.04964271769760018,88,0.21750226930901453
0.043408926935129266,101,0.19463672920673025
0.04759872459328525,93,0.23357592818072892
0.04819484819991862,95,0.24101955749794868
0.04726655821817412,94,0.216015871325354
0.052045300188405516,103,0.20730956780785734
0.04993836774159863,131,0.2199870723527652
0.05158134304362071,88,0.26535256178697253
0.0499935615792603,82,0.24799357314998421
0.04360417679464684,114,0.2467712981647464
0.0459148287891474,74,0.19145829884876286
0.05317155620728383,73,0.2504147557898722
0.054371525158277804,60,0.19324309258627834
0.04897085636176699,63,0.2026642846839529
0.049273332369538084,88,0.20492706810149325
0.04836789387180102,66,0.21214956925359296
0.05068650683435111,82,0.24901543998716122
0.05269711668296127,76,0.1957524819410453
0.04481041027408794,71,0.23401378089339822
0.04112804038746256,122,0.2701295912511099
0.04041799057368664,202,0.1964469979926841
0.04820518844441445,130,0.21580051223274077
0.0490820310856265,68,0.2022381261003487
0.047398726610602994,92,0.23759155093958886
0.050690066879468976,119,0.2265244953454382
0.04361585411421541,112,0.2016916214572009
0.04814838071003331,78,0.24393474061020026
0.047038450473826626,118,0.22767739678637147
0.052168803022971146,84,0.21550789257066622
0.05220972916091119,94,0.20241090802783238
0.0479701480269579,57,0.22961092233640734
0.054943914297690355,86,0.22310522668960048
0.05005023551562303,87,0.21211292541187354
0.04919003211843816,67,0.19650162861607934
0.04646193107050033,96,0.24309960021991228
0.05080518289705498,84,0.21669967797167292
0.054963942674544776,85,0.20583415157080204
0.0405635021153676,93,0.275686310761184
0.04371887330252971,121,0.2028278334313432
0.04768040890769861,94,0.2345379311185263
0.042156201586492546,126,0.2566566119511721
0.04947549675282599,66,0.20456575591018658
0.05024049518928863,93,0.18697926272421383
0.0454633102883814,113,0.2458953079296291
0.04520866259401649,124,0.25159997398911343
0.05007678851191873,89,0.18515923951169655
0.05070296480917681,97,0.188626772344427
0.048324502188969304,62,0.21255124870592673
0.04290048587767095,111,0.19765764875022296
0.05043725494215547,70,0.21919373499059838
0.04845630701489638,69,0.21983401311170475
0.054796978482179584,50,0.1869623406056891
0.048542281960136255,131,0.2143797122927239
0.05573690562369192,77,0.18990831913781844
0.05149211984503685,88,0.2033561876631744
0.04943684966876757,94,0.1859922392255747
0.05151161640317455,75,0.2290723803996929
0.05137445093431669,86,0.2073477574475195
0.04652472602084083,139,0.24146363836982201
0.04956190877705346,88,0.20378915916891702
