beta,pop_infected,rel_death
0.04451006064445954,270,0.988279110914691
0.04611787435706801,265,0.9996389564166964
0.04355431263521961,318,0.9832761417154612
0.04543840993321876,293,0.9976482127175921
0.047960590307494985,257,0.9988879785122146
0.04410443922881976,317,0.9860290323559865
0.046204659298642405,266,0.9400788805234755
0.04382227526352689,314,0.9188058321703583
0.0439832874819454,248,0.9833728336772234
0.047443395704095837,249,0.9877207591114118
0.045409572029926806,306,0.9987600358599729
0.04710844736473545,299,0.9823105441236217
0.045476058304198444,290,0.9824072408591704
0.04681475152269145,298,0.9408540896510454
0.044049641141626086,282,0.9850836166398249
0.04550648372918069,271,0.9741638528381859
0.046763936158031316,281,0.9353228190346596
0.0437607541675925,425,0.9475652191372144
0.05174085142154229,195,0.9989793893351816
0.04565922941905453,256,0.9387489614460779
0.05021720917342728,265,0.9803391645158387
0.043353730816095996,326,0.9879499065962055
0.045605413708828285,307,0.9714788939926341
0.04538380500922324,416,0.9433564190135901
0.04789824906238954,265,0.9855413071356298
0.048943222866926574,299,0.9871821418373274
0.0455606051074985,346,0.9650434187042713
0.04722136002108477,302,0.9394484176551048
0.04420975725824405,229,0.9853364166312946
0.04269810959213497,244,0.9780669699643074
0.04800899391632799,277,0.9863724028525375
0.04885240202234423,330,0.9261779910796561
0.045446636970004985,280,0.9729554933597032
0.044048131836263646,283,0.9830696852706763
0.04564246772296401,276,0.9995794980095913
0.04535466959116732,290,0.9973297147209021
0.03976220214353638,415,0.9767829002438785
0.05295361965309403,277,0.9628295214511993
0.04952833144755649,251,0.9837026775862253
0.0487709011485443,262,0.998856674635176
0.050824959428769266,268,0.9990248146115294
0.043783301700740906,317,0.9080462542353498
0.04874329213996145,268,0.9861369339106141
0.04653705724291371,290,0.9145609228094302
0.0454970228374233,260,0.9307420933029241
0.04522601141164682,238,0.9259350415862502
0.04616704399307246,254,0.9991462302131956
0.04774702690116177,249,0.986611887441195
0.04319249089301076,408,0.9493505619714846
0.04552959433209078,306,0.9663065906222285
0.04545343670810549,304,0.9659908549519356
0.04781331815283889,264,0.9983754994059285
0.0454864632130817,311,0.9457765313836137
0.050569979521800736,289,0.9819622212607573
0.0453204143483312,268,0.9740897475574553
0.04796628981503402,248,0.9874504428195533
0.04295974429702795,241,0.9782863969071376
0.046342218617125244,255,0.9973432290738661
0.04585891374023809,261,0.9968055176996092
0.04550618599705635,345,0.9676151809879321
0.04800337854422157,249,0.9871600537054367
0.044384281636539444,251,0.9884983692484004
0.04169248131738599,336,0.9692927065255648
0.04683567839949712,284,0.9455282748242272
0.04214728923333845,333,0.9204753373775855
0.05057896793129563,267,0.9892745511030635
0.046872026381658015,285,0.9419557764805765
0.047683919206606626,262,0.9864154431602753
0.050888145846929175,306,0.9054046386254824
0.046268603048043346,263,0.9993557776543873
0.04710948780551065,309,0.9835625131031356
0.04555026953178841,308,0.9662964999324707
0.05119465257589884,268,0.9920859641981941
0.049671089081538174,224,0.9556986689852993
0.0475886504050989,250,0.9871943264990982
0.04012672901360674,381,0.9766756047399591
0.047737288503152335,266,0.9996190494767917
0.04551362555135036,291,0.9997162702830777
0.04293519954940099,312,0.9872241939777243
0.04668913158932781,285,0.9299659760001289
0.043387581992194224,281,0.9822931265080757
0.04762804349048224,277,0.9875560226951384
0.0503256234746247,302,0.9167532684434817
0.04950198695136856,242,0.9869739119432202
0.04701913869435062,248,0.9992281372069418
0.048744443818741955,321,0.9086627016222619
0.045984713056746146,265,0.9918033197334986
0.04194213990274628,269,0.9757941681133598
0.04437684666428504,247,0.9854946598211469
0.04906505960107302,258,0.9569006537973861
0.04691155093546879,248,0.9875324457023068
0.04867328179505153,270,0.9543382662362732
0.042883350052095384,317,0.9866215638845843
0.05002780969962498,276,0.9641162814965725
0.04620764715793884,286,0.9399432044496305
0.046210641344660214,354,0.9653102725796557
0.045559715914152726,176,0.9744884912729089
0.04593274376279148,398,0.9311377377289674
0.049483251010160136,245,0.9866436048948336
0.045001361117483006,240,0.9742309820891235
