age,population
0-4,553277
5-9,496622
10-14,467016
15-19,466963
20-24,588268
25-29,804436
30-34,728985
35-39,625351
40-44,550081
45-49,553115
50-54,553489
55-59,530749
60-64,464246
65-69,388657
70-74,265894
75+,500524
