all_race_ethnicity,Asian_Pacific_Islander,Black_African_American,Hispanic_Latino,White,date
0.0,0.0,0.0,0.0,0.0,2020-03-07
4.2688365,0.0,0.0,0.0,0.0,2020-03-14
175.8760638,20.832899299999998,45.9649718,52.519777899999994,33.6671049,2020-03-21
1201.2505911,70.9815551,342.26809579999997,367.63844529999994,228.8268268,2020-03-28
3797.5569503999996,236.14777469999999,1029.8432937999999,1289.5970109000002,649.8024962,2020-04-04
5347.998367200001,353.6602965,1350.8383448000002,1827.4891438000002,942.6789372,2020-04-11
4261.1525943,334.5738678,1063.8421779,1379.2042149,806.3682198,2020-04-18
2874.6344991,240.763447,711.1274976,980.701066,516.7763743999999,2020-04-25
1877.4342926999998,169.15815240000003,417.1036284,674.7920279,329.55442519999997,2020-05-02
1159.4159934,94.93315190000001,270.09169380000003,380.0838903,214.5935792,2020-05-09
713.7494628,63.8709248,168.09504149999998,248.4110822,123.172335,2020-05-16
491.76996479999997,41.91529439999999,111.4935473,156.81260699999999,98.2641517,2020-05-23
348.33705840000005,18.8369329,90.22050250000001,123.4588144,66.5130609,2020-05-30
272.3517687,19.4606724,67.2380166,95.3321087,47.3529199,2020-06-06
210.8805231,15.219243800000001,53.3725499,72.183581,36.4042679,2020-06-13
126.35756040000001,7.1106302999999995,23.5522996,40.0743329,31.477374499999996,2020-06-20
128.9188623,7.6096219000000005,31.5296914,45.7992376,26.2767648,2020-06-27
88.7917992,7.3601261,22.6026101,30.6157947,15.875545399999998,2020-07-04
61.471245599999996,6.112647099999999,12.9157772,25.388707800000002,10.4012194,2020-07-11
75.13152240000001,4.7404202,14.2453425,26.8821612,18.8864247,2020-07-18
57.202409100000004,6.6116387,15.384969900000002,17.423623,10.1275031,2020-07-25
46.1034342,0.0,9.876770800000001,17.6725319,9.3063542,2020-08-01
27.3205536,0.0,0.0,7.4672670000000005,8.758921599999999,2020-08-08
29.8818555,0.0,6.6478265,13.1921717,7.3903400999999995,2020-08-15
29.8818555,0.0,7.2176402,9.4585382,5.474326,2020-08-22
32.4431574,0.0,7.9773917999999995,12.943262800000001,5.7480423,2020-08-29
26.4667863,0.0,4.9383854000000005,9.4585382,6.5691912,2020-09-05
24.759251699999997,0.0,9.496895,7.2183581,0.0,2020-09-12
30.735622799999998,0.0,0.0,12.694353900000001,8.211489,2020-09-19
29.0280882,0.0,4.9383854000000005,8.9607204,7.3903400999999995,2020-09-26
39.2732958,0.0,9.1170192,12.1965361,9.3063542,2020-10-03
26.4667863,0.0,5.3182612,0.0,8.758921599999999,2020-10-10
49.51850339999999,0.0,12.5359014,13.689989500000001,13.9595313,2020-10-17
31.589390100000003,0.0,6.2679507,7.2183581,9.3063542,2020-10-24
46.957201500000004,0.0,7.9773917999999995,17.1747141,10.948652,2020-10-31
77.69282430000001,6.237395,12.5359014,14.934534000000001,26.0030485,2020-11-07
62.3250129,6.861134500000001,15.7648457,15.9301696,14.780680199999999,2020-11-14
70.8626859,4.7404202,9.3069571,19.912712,24.0870344,2020-11-21
93.0606357,6.861134500000001,18.4239763,25.1397989,25.729332199999998,2020-11-28
154.5318813,10.2293278,25.0718028,52.0219601,41.8785939,2020-12-05
189.53634060000002,27.3197901,28.110809200000002,51.773051200000005,48.995217700000005,2020-12-12
247.59251700000002,18.8369329,44.0655928,59.4892271,74.9982662,2020-12-19
296.2572531,34.180924600000004,50.3335435,89.607204,73.6296847,2020-12-26
329.5541778,37.1748742,55.271928900000006,88.1137506,84.0309041,2021-01-02
436.27509030000004,48.15268939999999,77.6846011,113.5024584,114.6871297,2021-01-09
471.27954959999994,61.12647100000001,79.3940422,107.27973589999999,127.27807950000002,2021-01-16
535.3120971,80.2128997,92.6896952,150.0920667,123.71976759999998,2021-01-23
583.9768332,74.9734879,104.08596920000001,165.77332740000003,137.13186629999998,2021-01-30
557.5100469,66.36588280000001,103.1362797,167.01787190000002,132.4786892,2021-02-06
578.8542294000001,70.3578156,101.4268386,179.214408,130.0152425,2021-02-13
528.4819587,70.85680719999999,98.57777010000001,157.55933370000002,115.78199490000002,2021-02-20
521.6518203,54.015840700000005,73.1260915,165.77332740000003,128.0992284,2021-02-27
431.1524865,50.2734037,86.2318066,114.74700290000001,96.0744213,2021-03-06
467.0107131,44.5350003,96.6783911,126.19681230000002,103.19104510000001,2021-03-13
359.4360333,51.3961348,62.4895691,108.52428040000001,77.18799659999999,2021-03-20
393.5867253,52.6436138,71.79652619999999,132.9173526,73.6296847,2021-03-27
381.63398309999997,47.778445700000006,82.2431107,109.7688249,77.7354292,2021-04-03
357.72849870000005,37.6738658,79.2041043,96.82556210000001,80.4725922,2021-04-10
289.42711470000006,26.5713027,62.4895691,87.8648417,63.50218159999999,2021-04-17
265.52163029999997,30.9374792,56.221618400000004,70.19230979999999,55.2906926,2021-04-24
226.2483345,17.464706,57.551183699999996,67.7032208,45.4369058,2021-05-01
192.95140979999996,16.8409665,48.4341645,45.7992376,36.4042679,2021-05-08
160.5082524,15.343991699999998,39.886959000000004,49.2839622,26.8241974,2021-05-15
103.30584329999999,11.4768068,24.691927000000003,33.6027015,18.065275800000002,2021-05-22
62.3250129,9.3560925,13.865466699999999,9.956356,14.5069639,2021-05-29
66.5938494,8.732353,12.7258393,21.6550743,14.2332476,2021-06-05
50.372270699999994,0.0,12.1560256,12.694353900000001,11.769800900000002,2021-06-12
52.9335726,0.0,15.0050941,17.423623,12.0435172,2021-06-19
31.589390100000003,0.0,11.0163982,8.9607204,6.842907500000001,2021-06-26
29.8818555,0.0,4.1786338,7.7161759,7.937772699999999,2021-07-03
15.367811399999999,0.0,0.0,8.7118115,0.0,2021-07-10
30.735622799999998,0.0,6.6478265,11.6987183,5.2006097,2021-07-17
