all_race_ethnicity,Asian_Pacific_Islander,Black_African_American,Hispanic_Latino,White,date
22.1979498,0.0,0.0,0.0,13.4120987,2020-03-07
1687.0441848,106.53470659999999,295.73331029999997,426.3809457,737.9391448,2020-03-14
16356.4739334,940.7239139,3407.8658017999996,4982.9072691,6017.105422900001,2020-03-21
25545.571383299997,1687.9638349000002,6352.473065499999,8741.182750200001,6685.7943438,2020-03-28
31668.7904589,2343.3893015,8237.4167851,11220.315394199999,7201.2021367,2020-04-04
30748.429309499996,2600.2452276000004,8098.5721802,10861.6376693,6491.1820545,2020-04-11
19826.1842406,1658.3985825999998,5187.9638006,7458.8040974000005,3841.0608379000005,2020-04-18
15350.736054,1214.2960586,3818.8914174,6133.3642049,3055.7687732,2020-04-25
9961.756856400001,762.5839127,2410.311951,4105.5033966,2000.866153,2020-05-02
6200.911899899999,447.72021309999997,1418.4562372,2536.1327821000004,1329.9875017000002,2020-05-09
5217.3719703,333.9501283,1159.9507553,2174.2192415,1240.4822716,2020-05-16
4326.0389091,296.2762625,1188.0615645,1722.2006791,863.8486427999999,2020-05-23
3366.4044639,224.67096790000002,1016.5476408,1272.9201145999998,616.4091076,2020-05-30
2688.5132277000002,201.4678585,657.1851340000001,1167.6316499,475.7189294,2020-06-06
2126.7343443,181.8824382,506.18450349999995,939.1332796999999,366.2324094,2020-06-13
2005.4993877,174.64705999999998,446.73394079999997,873.9191478999999,387.5822808,2020-06-20
1860.3589467,189.86630380000003,412.5451188,763.9014141000001,375.5387636,2020-06-27
1981.5939033,233.5280688,403.80797540000003,745.2332466,503.63799199999994,2020-07-04
2171.9840112,218.30882499999998,466.6774203,885.3689573,527.9987427,2020-07-11
2304.3179427,229.16189230000003,482.0623902,998.3735978999999,521.4295515,2020-07-18
1806.5716068,196.85218619999998,350.05554970000003,731.0454393,449.7158809,2020-07-25
1608.4975932,129.3635723,267.2426253,777.0935858,370.88558650000004,2020-08-01
1540.1962091999999,148.5747489,232.8638654,757.1808738000001,338.0396305,2020-08-08
1673.3839080000002,167.53642969999999,283.7672226,785.8053973,403.1841099,2020-08-15
1538.4886746,155.43588340000002,241.60100880000002,649.1544112,453.00047650000005,2020-08-22
1611.9126623999998,140.96512700000002,256.416165,636.7089662,548.8011815,2020-08-29
1603.3749894,130.7357992,220.51790189999997,565.5210208,685.3856152000001,2020-09-05
1827.062022,178.26474910000002,224.31665990000002,600.6171757,817.5905881,2020-09-12
2272.7285526,211.1981947,257.55579240000003,668.5693054,1161.9256935,2020-09-19
2843.0451089999997,247.25033779999998,344.5473506,755.6874204000001,1488.4692393999999,2020-09-26
3404.8239924000004,339.93802750000003,407.6067334,950.831998,1704.7051164,2020-10-03
3304.9332183,377.7366412,401.52872060000004,1027.7448481000001,1432.6311142000002,2020-10-10
3463.7339361,438.73836430000006,446.9238787,1162.1556541,1336.2829766,2020-10-17
4353.3594627,541.405886,567.3445073,1580.8204239,1561.2777752,2020-10-24
4823.785245,464.31168379999997,658.8945751,1823.2576924999998,1764.6489861,2020-10-31
7609.627944899999,730.6484502999999,985.7777010000001,2867.430528,2823.9310671,2020-11-07
10978.593710699999,1163.6484112,1513.0453114,4253.6041921,3804.1091374,2020-11-14
12451.342303200001,1183.1090836,1756.7356371,5001.8243455,4191.9651345,2020-11-21
14466.2331312,1453.1882871,2028.9166477999997,5686.0749116,4910.470422,2020-11-28
20953.157076599997,2381.3126631,3171.5830542,7874.9797782000005,7046.278710899999,2020-12-05
21778.750055700002,2949.6640955,3371.3977250000003,7971.805340299999,6920.369212900001,2020-12-12
22519.8200721,3124.4359034,3307.9584664,7886.927405400001,7574.8248862,2020-12-19
24142.831709399998,3402.4989725,3443.3841890999997,8549.273988300001,8054.6495601,2020-12-26
29660.729769300004,4040.9587247,4515.9635104,11065.4940584,8971.872881399999,2021-01-02
38139.4928256,4951.4936468,6489.4182914,14235.099991000001,11516.0658899,2021-01-09
35274.2497668,4656.4648633,6298.5307019,13270.8269124,10097.6680233,2021-01-16
33690.5114253,4540.324568399999,6305.1785284,12579.6068971,9385.731926999999,2021-01-23
32237.399480699998,4246.0442723,6274.0287128,12168.658303199998,8832.0038521,2021-01-30
25980.9927063,3515.6453177999997,4937.055834700001,9618.337713800001,7207.7713279,2021-02-06
25111.0038276,3291.7228373,4879.8845268000005,9430.6604032,6904.4936675,2021-02-13
22261.128580200002,3125.6833824,4095.4409998,8245.6051303,6167.3756716,2021-02-20
24183.812539799997,3306.3183416,4458.0324509,9113.5504646,6815.8095863,2021-02-27
23275.4041326,3204.5240552,4232.386225700001,8534.0905454,6848.9292586,2021-03-06
23450.426429100004,3418.09246,4275.1222532,8283.688192000001,7067.0811496999995,2021-03-13
22812.662256,3374.8049386999996,4511.9748145,7802.2983794,6798.5654594,2021-03-20
25495.1991126,3647.0048565,5318.2612,8747.156563800001,7395.2669934,2021-03-27
21820.5846534,3144.0213237000003,4979.7918622,7522.0269579999995,5799.5009644,2021-04-03
19502.6064339,2773.8943044000002,4825.3723495,6672.749791199999,5214.295515,2021-04-10
15499.2915642,2098.0101822,4065.6207495,5249.2397921,4034.578262,2021-04-17
10948.711855200001,1433.8523626,2987.1533533,3708.74261,2820.3727552000005,2021-04-24
7932.3519842999995,955.568914,2379.7319491000003,2774.5875082999996,1903.6968665,2021-05-01
5650.2319914,601.7838696,1761.8639604000002,1999.7341026000001,1323.4183105,2021-05-08
3943.5511586999996,415.2857591,1196.7987079,1480.0123194,893.6837194999999,2021-05-15
2797.7954421000004,243.50790080000002,834.3971947,1073.0462679,681.2798707000001,2021-05-22
1905.6086136000001,165.7899591,505.99456560000004,756.1852382000001,478.1823761,2021-05-29
1487.2626366,126.12012689999999,356.5134383,617.294072,375.8124799,2021-06-05
1327.6081515,86.69979049999999,338.089462,574.7306501,313.13144719999997,2021-06-12
